Area,Indicator,Source,Year,Value,obs_status.label
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,38.1,Unknown
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,34.5,Unknown
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016-01-01,34.9,Unknown
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015-01-01,35.1,Unknown
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014-01-01,34.5,Unknown
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2013-01-01,33.0,Unknown
Burundi,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Living Standards Survey,2020-01-01,33.8,Unknown
Burundi,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Living Standards Survey,2017-01-01,32.4,Unknown
Burundi,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Living Standards Survey,2014-01-01,27.4,Unknown
Belgium,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2022-01-01,36.4,Unknown
Belgium,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2021-01-01,35.4,Break in series
Belgium,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2020-01-01,34.5,Unknown
Belgium,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2019-01-01,32.7,Unknown
Belgium,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2018-01-01,33.9,Unknown
Belgium,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2017-01-01,33.5,Break in series
Belgium,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2016-01-01,32.7,Unknown
Belgium,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2015-01-01,32.6,Unknown
Belgium,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2014-01-01,31.7,Unknown
Belgium,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2013-01-01,31.4,Unknown
Benin,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,2018-01-01,13.7,Unreliable
Burkina Faso,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Regional Integrated Survey on Employment and the Informal Sector,2018-01-01,58.1,Unknown
Bangladesh,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,10.7,Unknown
Bangladesh,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016-01-01,11.4,Unknown
Bangladesh,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2013-01-01,13.2,Break in series
Bulgaria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2022-01-01,40.8,Unknown
Bulgaria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2021-01-01,38.3,Break in series
Bulgaria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2020-01-01,41.3,Unknown
Bulgaria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2019-01-01,39.0,Unknown
Bulgaria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2018-01-01,38.6,Unknown
Bulgaria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2017-01-01,39.2,Unknown
Bulgaria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2016-01-01,37.9,Unknown
Bulgaria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2015-01-01,36.5,Unknown
Bulgaria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2014-01-01,36.7,Unknown
Bulgaria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2013-01-01,36.5,Unknown
Bahrain,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),OE - Estimates of Central informatics organization,2015-01-01,21.6,Unknown
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2022-01-01,24.1,Break in series
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2021-01-01,24.2,Break in series
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,25.1,Break in series
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,24.3,Unknown
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,25.9,Unknown
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,20.3,Unknown
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016-01-01,21.6,Unknown
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015-01-01,22.0,Unknown
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014-01-01,24.1,Unknown
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2013-01-01,22.8,Unknown
Belarus,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2022-01-01,46.3,Unknown
Belarus,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2021-01-01,47.2,Unknown
Belarus,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,50.5,Unknown
Belarus,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,49.1,Unknown
Belarus,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,47.3,Unknown
Belarus,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,47.6,Unknown
Belarus,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016-01-01,46.0,Unknown
Belize,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2021-01-01,39.4,Break in series
Belize,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,56.7,Unknown
Belize,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,51.1,Unknown
Belize,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016-01-01,38.7,Unknown
Belize,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015-01-01,46.4,Unknown
Belize,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014-01-01,39.3,Unknown
Bolivia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous Employment Survey,2022-01-01,34.4,Unknown
Bolivia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous Employment Survey,2021-01-01,35.2,Break in series
Bolivia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous Employment Survey,2019-01-01,35.8,Unknown
Bolivia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous Employment Survey,2018-01-01,38.8,Unknown
Bolivia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous Employment Survey,2017-01-01,35.3,Unknown
Bolivia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous Employment Survey,2016-01-01,35.7,Break in series
Bolivia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Household Survey,2020-01-01,30.1,Unknown
Bolivia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Household Survey,2015-01-01,37.1,Unknown
Bolivia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Household Survey,2014-01-01,39.4,Unknown
Bolivia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Household Survey,2013-01-01,34.2,Unknown
Brazil,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continuous National Household Sample Survey,2022-01-01,39.3,Unknown
Brazil,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continuous National Household Sample Survey,2021-01-01,38.8,Unknown
Brazil,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continuous National Household Sample Survey,2020-01-01,36.8,Unknown
Brazil,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continuous National Household Sample Survey,2019-01-01,38.5,Unknown
Brazil,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continuous National Household Sample Survey,2018-01-01,38.7,Unknown
Brazil,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continuous National Household Sample Survey,2017-01-01,39.1,Unknown
Brazil,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continuous National Household Sample Survey,2016-01-01,39.0,Unknown
Brazil,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continuous National Household Sample Survey,2015-01-01,38.5,Unknown
Brazil,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continuous National Household Sample Survey,2014-01-01,37.8,Unknown
Brazil,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continuous National Household Sample Survey,2013-01-01,37.3,Unknown
Barbados,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,49.3,Unknown
Barbados,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,46.5,Unknown
Barbados,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,49.0,Unknown
Barbados,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016-01-01,48.9,Unknown
Barbados,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015-01-01,50.9,Break in series
Barbados,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014-01-01,48.6,Unknown
Barbados,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2013-01-01,48.2,Unknown
Brunei Darussalam,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2021-01-01,42.6,Unknown
Brunei Darussalam,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,36.5,Unknown
Brunei Darussalam,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,33.0,Unknown
Brunei Darussalam,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,36.6,Unknown
Brunei Darussalam,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,41.3,Unknown
Brunei Darussalam,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014-01-01,33.6,Break in series
Bhutan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2022-01-01,37.1,Unknown
Bhutan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2021-01-01,39.7,Unknown
Bhutan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,32.7,Unknown
Bhutan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,32.6,Unknown
Bhutan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,24.0,Unknown
Bhutan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015-01-01,18.5,Unknown
Bhutan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014-01-01,16.5,Unknown
Bhutan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2013-01-01,17.0,Unknown
Botswana,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Multi-Topic Household Survey,2022-01-01,58.5,Unknown
Botswana,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Multi-Topic Household Survey,2021-01-01,58.0,Unknown
Botswana,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Multi-Topic Household Survey,2020-01-01,56.7,Unknown
Botswana,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Multi-Topic Household Survey,2019-01-01,57.8,Break in series
Canada,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2021-01-01,35.6,Unknown
Canada,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,35.8,Unknown
Canada,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,35.3,Unknown
Canada,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,35.1,Unknown
Canada,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,34.5,Unknown
Canada,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015-01-01,36.3,Unknown
Canada,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014-01-01,35.5,Unknown
Canada,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2013-01-01,35.8,Unknown
Switzerland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2022-01-01,30.7,Unknown
Switzerland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2021-01-01,31.5,Unknown
Switzerland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,33.1,Unknown
Switzerland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,33.5,Unknown
Switzerland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,32.1,Unknown
Switzerland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,30.8,Unknown
Switzerland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016-01-01,33.0,Unknown
Switzerland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015-01-01,33.0,Unknown
Switzerland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014-01-01,31.3,Unknown
Switzerland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2013-01-01,29.5,Unknown
Chile,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Employment Survey,2022-01-01,29.6,Unknown
Chile,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Employment Survey,2021-01-01,30.4,Unknown
Chile,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Employment Survey,2020-01-01,27.4,Break in series
Chile,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Employment Survey,2019-01-01,29.9,Unknown
Chile,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Employment Survey,2018-01-01,27.3,Unknown
Chile,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Employment Survey,2017-01-01,26.5,Unknown
Chile,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Employment Survey,2016-01-01,27.4,Unknown
Chile,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Employment Survey,2015-01-01,27.4,Unknown
Chile,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Employment Survey,2014-01-01,26.9,Unknown
Chile,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Employment Survey,2013-01-01,25.0,Unknown
Côte d'Ivoire,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Survey on the Employment Situation,2019-01-01,30.7,Unknown
Côte d'Ivoire,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Survey on the Employment Situation,2016-01-01,16.6,Unreliable
Côte d'Ivoire,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Regional Integrated Survey on Employment and the Informal Sector,2017-01-01,56.9,Unknown
Cameroon,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Household Survey,2014-01-01,49.3,Unknown
"Congo, Democratic Republic of the",SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Indicator Cluster Survey,2020-01-01,41.9,Unknown
Cook Islands,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,59.8,Break in series
Cook Islands,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Household Income and Expenditure Survey,2016-01-01,42.3,Break in series
Colombia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Integrated Household Survey,2022-01-01,43.5,Unknown
Colombia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Integrated Household Survey,2021-01-01,35.3,Unknown
Colombia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Integrated Household Survey,2020-01-01,35.0,Unknown
Colombia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Integrated Household Survey,2019-01-01,34.8,Unknown
Colombia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Integrated Household Survey,2018-01-01,34.7,Unknown
Colombia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Integrated Household Survey,2017-01-01,34.5,Unknown
Colombia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Integrated Household Survey,2016-01-01,35.0,Unknown
Colombia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Integrated Household Survey,2015-01-01,33.8,Unknown
Colombia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Integrated Household Survey,2014-01-01,33.4,Unknown
Colombia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Integrated Household Survey,2013-01-01,34.2,Unknown
Comoros,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Survey on Employment and the Informal Sector,2021-01-01,51.1,Unknown
Comoros,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Survey on Employment and the Informal Sector,2014-01-01,25.6,Unknown
Cabo Verde,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous Multi-Objective Survey Employment and Labor Market Statistics,2019-01-01,46.0,Unknown
Cabo Verde,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous Multi-Objective Survey Employment and Labor Market Statistics,2018-01-01,42.5,Unknown
Cabo Verde,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous Multi-Objective Survey Employment and Labor Market Statistics,2017-01-01,43.8,Unknown
