country,gender,education_level,marital_status,year,employee_count_thousands
Afghanistan,Male,(ISCED-11): 5. Short-cycle tertiary education,Union / Cohabiting,2020,1.347
Afghanistan,Male,(ISCED-11): 5. Short-cycle tertiary education,Divorced or legally separated,2020,12.508
Afghanistan,Male,(ISCED-11): 6. Bachelor's or equivalent level,Single,2020,2.027
Afghanistan,Male,(ISCED-11): 6. Bachelor's or equivalent level,Union / Cohabiting,2020,22.743
Afghanistan,Male,(ISCED-11): 6. Bachelor's or equivalent level,Widowed,2020,1.956
Afghanistan,Male,(ISCED-11): 6. Bachelor's or equivalent level,Divorced or legally separated,2020,106.656
Afghanistan,Male,(ISCED-11): 7. Master's or equivalent level,Union / Cohabiting,2020,3.69
Afghanistan,Male,(ISCED-11): 7. Master's or equivalent level,Divorced or legally separated,2020,10.819
Afghanistan,Male,(ISCED-11): 9. Not elsewhere classified,Union / Cohabiting,2020,2.65
Afghanistan,Male,(ISCED-11): 9. Not elsewhere classified,Divorced or legally separated,2020,10.376
Afghanistan,Female,(ISCED-11): X. No schooling,Married,2020,4.398
Afghanistan,Female,(ISCED-11): 2. Lower secondary education,Married,2020,1.604
Afghanistan,Female,(ISCED-11): 3. Upper secondary education,Married,2020,5.943
Afghanistan,Female,(ISCED-11): 4. Post-secondary non-tertiary education,Married,2020,14.482
Afghanistan,Female,(ISCED-11): 4. Post-secondary non-tertiary education,Widowed,2020,1.268
Afghanistan,Female,(ISCED-11): 5. Short-cycle tertiary education,Married,2020,1.146
Afghanistan,Female,(ISCED-11): 6. Bachelor's or equivalent level,Married,2020,17.806
Afghanistan,Female,(ISCED-11): 6. Bachelor's or equivalent level,Widowed,2020,1.79
Afghanistan,Male,(ISCED-11): X. No schooling,Single,2017,25.849
Afghanistan,Male,(ISCED-11): X. No schooling,Married,2017,208.736
Afghanistan,Male,(ISCED-11): X. No schooling,Union / Cohabiting,2017,7.477
Afghanistan,Male,(ISCED-11): X. No schooling,Widowed,2017,1.536
Afghanistan,Male,(ISCED-11): 1. Primary education,Single,2017,29.262
Afghanistan,Male,(ISCED-11): 1. Primary education,Married,2017,82.981
Afghanistan,Male,(ISCED-11): 1. Primary education,Union / Cohabiting,2017,7.882
Afghanistan,Male,(ISCED-11): 2. Lower secondary education,Single,2017,25.167
Afghanistan,Male,(ISCED-11): 2. Lower secondary education,Married,2017,69.046
Afghanistan,Male,(ISCED-11): 2. Lower secondary education,Union / Cohabiting,2017,2.347
Afghanistan,Male,(ISCED-11): 3. Upper secondary education,Single,2017,50.98
Afghanistan,Male,(ISCED-11): 3. Upper secondary education,Married,2017,173.517
Afghanistan,Male,(ISCED-11): 3. Upper secondary education,Union / Cohabiting,2017,11.43
Afghanistan,Male,(ISCED-11): 3. Upper secondary education,Widowed,2017,1.635
Afghanistan,Male,(ISCED-11): 6. Bachelor's or equivalent level,Single,2017,18.556
Afghanistan,Male,(ISCED-11): 6. Bachelor's or equivalent level,Married,2017,124.541
Afghanistan,Male,(ISCED-11): 6. Bachelor's or equivalent level,Union / Cohabiting,2017,6.925
Afghanistan,Male,(ISCED-11): 7. Master's or equivalent level,Single,2017,16.98
Afghanistan,Male,(ISCED-11): 7. Master's or equivalent level,Married,2017,96.296
Afghanistan,Male,(ISCED-11): 7. Master's or equivalent level,Union / Cohabiting,2017,8.457
Afghanistan,Male,(ISCED-11): 8. Doctoral or equivalent level,Married,2017,14.359
Afghanistan,Male,(ISCED-11): 9. Not elsewhere classified,Married,2017,0.676
Afghanistan,Female,(ISCED-11): X. No schooling,Single,2017,2.281
Afghanistan,Female,(ISCED-11): X. No schooling,Married,2017,13.955
Afghanistan,Female,(ISCED-11): X. No schooling,Widowed,2017,3.581
Afghanistan,Female,(ISCED-11): 1. Primary education,Married,2017,3.15
Afghanistan,Female,(ISCED-11): 2. Lower secondary education,Single,2017,1.418
Afghanistan,Female,(ISCED-11): 3. Upper secondary education,Single,2017,5.299
Afghanistan,Female,(ISCED-11): 3. Upper secondary education,Married,2017,7.42
Afghanistan,Female,(ISCED-11): 6. Bachelor's or equivalent level,Single,2017,16.801
Afghanistan,Female,(ISCED-11): 6. Bachelor's or equivalent level,Married,2017,24.862
Afghanistan,Female,(ISCED-11): 6. Bachelor's or equivalent level,Union / Cohabiting,2017,2.577
Afghanistan,Female,(ISCED-11): 6. Bachelor's or equivalent level,Widowed,2017,3.207
Afghanistan,Female,(ISCED-11): 7. Master's or equivalent level,Single,2017,6.121
Afghanistan,Female,(ISCED-11): 7. Master's or equivalent level,Married,2017,8.794
Afghanistan,Male,(ISCED-11): X. No schooling,Single,2014,171.897
Afghanistan,Male,(ISCED-11): X. No schooling,Married,2014,928.441
Afghanistan,Male,(ISCED-11): X. No schooling,Widowed,2014,4.453
Afghanistan,Male,(ISCED-11): X. No schooling,Divorced or legally separated,2014,0.924
Afghanistan,Male,(ISCED-11): 0. Early childhood education,Single,2014,33.778
Afghanistan,Male,(ISCED-11): 0. Early childhood education,Married,2014,94.007
Afghanistan,Male,(ISCED-11): 1. Primary education,Single,2014,26.846
Afghanistan,Male,(ISCED-11): 1. Primary education,Married,2014,70.757
Afghanistan,Male,(ISCED-11): 2. Lower secondary education,Single,2014,34.016
Afghanistan,Male,(ISCED-11): 2. Lower secondary education,Married,2014,35.705
Afghanistan,Male,(ISCED-11): 3. Upper secondary education,Single,2014,66.838
Afghanistan,Male,(ISCED-11): 3. Upper secondary education,Married,2014,255.684
Afghanistan,Male,(ISCED-11): 4. Post-secondary non-tertiary education,Single,2014,11.104
Afghanistan,Male,(ISCED-11): 4. Post-secondary non-tertiary education,Married,2014,83.691
Afghanistan,Male,(ISCED-11): 6. Bachelor's or equivalent level,Single,2014,14.407
Afghanistan,Male,(ISCED-11): 6. Bachelor's or equivalent level,Married,2014,95.927
Afghanistan,Male,(ISCED-11): 9. Not elsewhere classified,Single,2014,19.52
Afghanistan,Male,(ISCED-11): 9. Not elsewhere classified,Married,2014,47.705
Afghanistan,Female,(ISCED-11): X. No schooling,Single,2014,13.79
Afghanistan,Female,(ISCED-11): X. No schooling,Married,2014,51.932
Afghanistan,Female,(ISCED-11): X. No schooling,Widowed,2014,9.506
Afghanistan,Female,(ISCED-11): 0. Early childhood education,Single,2014,3.5
Afghanistan,Female,(ISCED-11): 0. Early childhood education,Married,2014,2.652
Afghanistan,Female,(ISCED-11): 1. Primary education,Single,2014,1.634
Afghanistan,Female,(ISCED-11): 1. Primary education,Married,2014,1.742
Afghanistan,Female,(ISCED-11): 2. Lower secondary education,Single,2014,4.542
Afghanistan,Female,(ISCED-11): 2. Lower secondary education,Married,2014,1.398
Afghanistan,Female,(ISCED-11): 3. Upper secondary education,Single,2014,14.38
Afghanistan,Female,(ISCED-11): 3. Upper secondary education,Married,2014,17.784
Afghanistan,Female,(ISCED-11): 4. Post-secondary non-tertiary education,Single,2014,6.489
Afghanistan,Female,(ISCED-11): 4. Post-secondary non-tertiary education,Married,2014,20.929
Afghanistan,Female,(ISCED-11): 6. Bachelor's or equivalent level,Single,2014,8.604
Afghanistan,Female,(ISCED-11): 6. Bachelor's or equivalent level,Married,2014,7.553
Angola,Male,(ISCED-11): X. No schooling,Single,2021,2.093
Angola,Male,(ISCED-11): X. No schooling,Union / Cohabiting,2021,13.17
Angola,Male,(ISCED-11): 0. Early childhood education,Single,2021,5.294
Angola,Male,(ISCED-11): 0. Early childhood education,Union / Cohabiting,2021,32.042
Angola,Male,(ISCED-11): 0. Early childhood education,Divorced or legally separated,2021,2.96
Angola,Male,(ISCED-11): 1. Primary education,Single,2021,31.233
Angola,Male,(ISCED-11): 1. Primary education,Married,2021,7.599
Angola,Male,(ISCED-11): 1. Primary education,Union / Cohabiting,2021,209.941
Angola,Male,(ISCED-11): 1. Primary education,Divorced or legally separated,2021,15.812
Angola,Male,(ISCED-11): 2. Lower secondary education,Single,2021,54.24
Angola,Male,(ISCED-11): 2. Lower secondary education,Married,2021,19.587
Angola,Male,(ISCED-11): 2. Lower secondary education,Union / Cohabiting,2021,350.28
Angola,Male,(ISCED-11): 2. Lower secondary education,Divorced or legally separated,2021,28.532
Angola,Male,(ISCED-11): 3. Upper secondary education,Single,2021,97.104
Angola,Male,(ISCED-11): 3. Upper secondary education,Married,2021,32.8
Angola,Male,(ISCED-11): 3. Upper secondary education,Union / Cohabiting,2021,444.213
Angola,Male,(ISCED-11): 3. Upper secondary education,Widowed,2021,4.071
Angola,Male,(ISCED-11): 3. Upper secondary education,Divorced or legally separated,2021,27.113
Angola,Male,(ISCED-11): 4. Post-secondary non-tertiary education,Single,2021,1.308
Angola,Male,(ISCED-11): 4. Post-secondary non-tertiary education,Married,2021,1.024
Angola,Male,(ISCED-11): 4. Post-secondary non-tertiary education,Union / Cohabiting,2021,11.628
Angola,Male,(ISCED-11): 4. Post-secondary non-tertiary education,Divorced or legally separated,2021,3.464
Angola,Male,(ISCED-11): 5. Short-cycle tertiary education,Single,2021,26.8
Angola,Male,(ISCED-11): 5. Short-cycle tertiary education,Married,2021,41.295
Angola,Male,(ISCED-11): 5. Short-cycle tertiary education,Union / Cohabiting,2021,117.624
Angola,Male,(ISCED-11): 5. Short-cycle tertiary education,Divorced or legally separated,2021,17.24
Angola,Male,(ISCED-11): 6. Bachelor's or equivalent level,Married,2021,6.94
Angola,Male,(ISCED-11): 9. Not elsewhere classified,Single,2021,47.027
Angola,Male,(ISCED-11): 9. Not elsewhere classified,Married,2021,4.56
Angola,Male,(ISCED-11): 9. Not elsewhere classified,Union / Cohabiting,2021,73.923
Angola,Male,(ISCED-11): 9. Not elsewhere classified,Divorced or legally separated,2021,8.403
Angola,Female,(ISCED-11): X. No schooling,Union / Cohabiting,2021,10.023
Angola,Female,(ISCED-11): X. No schooling,Widowed,2021,5.795
Angola,Female,(ISCED-11): X. No schooling,Divorced or legally separated,2021,9.717
Angola,Female,(ISCED-11): 0. Early childhood education,Single,2021,3.148
Angola,Female,(ISCED-11): 0. Early childhood education,Union / Cohabiting,2021,6.102
Angola,Female,(ISCED-11): 0. Early childhood education,Divorced or legally separated,2021,6.397
Angola,Female,(ISCED-11): 1. Primary education,Single,2021,12.786
Angola,Female,(ISCED-11): 1. Primary education,Union / Cohabiting,2021,67.667
Angola,Female,(ISCED-11): 1. Primary education,Widowed,2021,18.498
Angola,Female,(ISCED-11): 1. Primary education,Divorced or legally separated,2021,56.053
Angola,Female,(ISCED-11): 2. Lower secondary education,Single,2021,17.682
Angola,Female,(ISCED-11): 2. Lower secondary education,Married,2021,5.105
Angola,Female,(ISCED-11): 2. Lower secondary education,Union / Cohabiting,2021,69.691
Angola,Female,(ISCED-11): 2. Lower secondary education,Widowed,2021,6.088
Angola,Female,(ISCED-11): 2. Lower secondary education,Divorced or legally separated,2021,45.858
Angola,Female,(ISCED-11): 3. Upper secondary education,Single,2021,44.481
Angola,Female,(ISCED-11): 3. Upper secondary education,Married,2021,16.955
Angola,Female,(ISCED-11): 3. Upper secondary education,Union / Cohabiting,2021,66.749
Angola,Female,(ISCED-11): 3. Upper secondary education,Widowed,2021,5.928
Angola,Female,(ISCED-11): 3. Upper secondary education,Divorced or legally separated,2021,51.511
Angola,Female,(ISCED-11): 5. Short-cycle tertiary education,Single,2021,27.501
Angola,Female,(ISCED-11): 5. Short-cycle tertiary education,Married,2021,18.518
Angola,Female,(ISCED-11): 5. Short-cycle tertiary education,Union / Cohabiting,2021,32.634
Angola,Female,(ISCED-11): 5. Short-cycle tertiary education,Widowed,2021,3.267
Angola,Female,(ISCED-11): 5. Short-cycle tertiary education,Divorced or legally separated,2021,15.309
Angola,Female,(ISCED-11): 9. Not elsewhere classified,Single,2021,23.626
Angola,Female,(ISCED-11): 9. Not elsewhere classified,Married,2021,8.962
Angola,Female,(ISCED-11): 9. Not elsewhere classified,Union / Cohabiting,2021,25.978
Angola,Female,(ISCED-11): 9. Not elsewhere classified,Divorced or legally separated,2021,12.606
Angola,Male,(ISCED-11): X. No schooling,Single,2019,7.718
Angola,Male,(ISCED-11): X. No schooling,Married,2019,1.45
Angola,Male,(ISCED-11): X. No schooling,Union / Cohabiting,2019,27.437
Angola,Male,(ISCED-11): X. No schooling,Widowed,2019,2.047
Angola,Male,(ISCED-11): X. No schooling,Divorced or legally separated,2019,3.268
Angola,Male,(ISCED-11): 0. Early childhood education,Single,2019,12.697
Angola,Male,(ISCED-11): 0. Early childhood education,Married,2019,2.96
Angola,Male,(ISCED-11): 0. Early childhood education,Union / Cohabiting,2019,41.503
Angola,Male,(ISCED-11): 0. Early childhood education,Divorced or legally separated,2019,2.655
Angola,Male,(ISCED-11): 1. Primary education,Single,2019,44.315
Angola,Male,(ISCED-11): 1. Primary education,Married,2019,14.504
Angola,Male,(ISCED-11): 1. Primary education,Union / Cohabiting,2019,234.589
Angola,Male,(ISCED-11): 1. Primary education,Widowed,2019,4.674
Angola,Male,(ISCED-11): 1. Primary education,Divorced or legally separated,2019,16.754
Angola,Male,(ISCED-11): 2. Lower secondary education,Single,2019,68.512
Angola,Male,(ISCED-11): 2. Lower secondary education,Married,2019,20.627
Angola,Male,(ISCED-11): 2. Lower secondary education,Union / Cohabiting,2019,353.652
Angola,Male,(ISCED-11): 2. Lower secondary education,Widowed,2019,2.689
Angola,Male,(ISCED-11): 2. Lower secondary education,Divorced or legally separated,2019,30.808
Angola,Male,(ISCED-11): 3. Upper secondary education,Single,2019,91.03
Angola,Male,(ISCED-11): 3. Upper secondary education,Married,2019,44.594
Angola,Male,(ISCED-11): 3. Upper secondary education,Union / Cohabiting,2019,361.832
Angola,Male,(ISCED-11): 3. Upper secondary education,Widowed,2019,3.31
Angola,Male,(ISCED-11): 3. Upper secondary education,Divorced or legally separated,2019,28.211
Angola,Male,(ISCED-11): 4. Post-secondary non-tertiary education,Single,2019,9.553
Angola,Male,(ISCED-11): 4. Post-secondary non-tertiary education,Married,2019,9.859
Angola,Male,(ISCED-11): 4. Post-secondary non-tertiary education,Union / Cohabiting,2019,37.598
Angola,Male,(ISCED-11): 4. Post-secondary non-tertiary education,Divorced or legally separated,2019,3.307
Angola,Male,(ISCED-11): 5. Short-cycle tertiary education,Single,2019,25.737
Angola,Male,(ISCED-11): 5. Short-cycle tertiary education,Married,2019,47.944
Angola,Male,(ISCED-11): 5. Short-cycle tertiary education,Union / Cohabiting,2019,94.006
Angola,Male,(ISCED-11): 5. Short-cycle tertiary education,Widowed,2019,1.491
Angola,Male,(ISCED-11): 5. Short-cycle tertiary education,Divorced or legally separated,2019,7.254
Angola,Male,(ISCED-11): 6. Bachelor's or equivalent level,Married,2019,1.934
Angola,Male,(ISCED-11): 6. Bachelor's or equivalent level,Union / Cohabiting,2019,1.386
Angola,Male,(ISCED-11): 9. Not elsewhere classified,Single,2019,44.772
Angola,Male,(ISCED-11): 9. Not elsewhere classified,Married,2019,12.039
Angola,Male,(ISCED-11): 9. Not elsewhere classified,Union / Cohabiting,2019,51.605
Angola,Male,(ISCED-11): 9. Not elsewhere classified,Divorced or legally separated,2019,5.118
Angola,Female,(ISCED-11): X. No schooling,Single,2019,2.103
Angola,Female,(ISCED-11): X. No schooling,Married,2019,2.037
Angola,Female,(ISCED-11): X. No schooling,Union / Cohabiting,2019,13.186
Angola,Female,(ISCED-11): X. No schooling,Widowed,2019,7.431
Angola,Female,(ISCED-11): X. No schooling,Divorced or legally separated,2019,11.356
Angola,Female,(ISCED-11): 0. Early childhood education,Single,2019,6.954
Angola,Female,(ISCED-11): 0. Early childhood education,Union / Cohabiting,2019,20.508
Angola,Female,(ISCED-11): 0. Early childhood education,Widowed,2019,5.703
Angola,Female,(ISCED-11): 0. Early childhood education,Divorced or legally separated,2019,8.898
Angola,Female,(ISCED-11): 1. Primary education,Single,2019,18.492
Angola,Female,(ISCED-11): 1. Primary education,Married,2019,4.42
Angola,Female,(ISCED-11): 1. Primary education,Union / Cohabiting,2019,81.887
Angola,Female,(ISCED-11): 1. Primary education,Widowed,2019,17.831
Angola,Female,(ISCED-11): 1. Primary education,Divorced or legally separated,2019,46.397
Angola,Female,(ISCED-11): 2. Lower secondary education,Single,2019,19.036
Angola,Female,(ISCED-11): 2. Lower secondary education,Married,2019,4.936
Angola,Female,(ISCED-11): 2. Lower secondary education,Union / Cohabiting,2019,69.204
Angola,Female,(ISCED-11): 2. Lower secondary education,Widowed,2019,12.632
Angola,Female,(ISCED-11): 2. Lower secondary education,Divorced or legally separated,2019,36.333
Angola,Female,(ISCED-11): 3. Upper secondary education,Single,2019,33.567
Angola,Female,(ISCED-11): 3. Upper secondary education,Married,2019,21.659
Angola,Female,(ISCED-11): 3. Upper secondary education,Union / Cohabiting,2019,86.093
Angola,Female,(ISCED-11): 3. Upper secondary education,Widowed,2019,11.281
Angola,Female,(ISCED-11): 3. Upper secondary education,Divorced or legally separated,2019,42.455
Angola,Female,(ISCED-11): 4. Post-secondary non-tertiary education,Single,2019,2.817
Angola,Female,(ISCED-11): 4. Post-secondary non-tertiary education,Married,2019,6.503
Angola,Female,(ISCED-11): 4. Post-secondary non-tertiary education,Union / Cohabiting,2019,10.257
Angola,Female,(ISCED-11): 4. Post-secondary non-tertiary education,Divorced or legally separated,2019,3.727
Angola,Female,(ISCED-11): 5. Short-cycle tertiary education,Single,2019,18.346
Angola,Female,(ISCED-11): 5. Short-cycle tertiary education,Married,2019,28.262
Angola,Female,(ISCED-11): 5. Short-cycle tertiary education,Union / Cohabiting,2019,23.468
Angola,Female,(ISCED-11): 5. Short-cycle tertiary education,Widowed,2019,1.807
Angola,Female,(ISCED-11): 5. Short-cycle tertiary education,Divorced or legally separated,2019,13.733
Angola,Female,(ISCED-11): 9. Not elsewhere classified,Single,2019,21.008
Angola,Female,(ISCED-11): 9. Not elsewhere classified,Married,2019,8.751
Angola,Female,(ISCED-11): 9. Not elsewhere classified,Union / Cohabiting,2019,26.098
Angola,Female,(ISCED-11): 9. Not elsewhere classified,Widowed,2019,3.214
Angola,Female,(ISCED-11): 9. Not elsewhere classified,Divorced or legally separated,2019,8.895
Angola,Male,(ISCED-11): X. No schooling,Single,2014,17.781
Angola,Male,(ISCED-11): X. No schooling,Married,2014,11.802
Angola,Male,(ISCED-11): X. No schooling,Union / Cohabiting,2014,35.827
Angola,Male,(ISCED-11): X. No schooling,Widowed,2014,0.958
Angola,Male,(ISCED-11): X. No schooling,Divorced or legally separated,2014,1.487
Angola,Male,(ISCED-11): 0. Early childhood education,Single,2014,39.265
Angola,Male,(ISCED-11): 0. Early childhood education,Married,2014,41.104
Angola,Male,(ISCED-11): 0. Early childhood education,Union / Cohabiting,2014,108.015
Angola,Male,(ISCED-11): 0. Early childhood education,Widowed,2014,1.927
Angola,Male,(ISCED-11): 0. Early childhood education,Divorced or legally separated,2014,3.353
Angola,Male,(ISCED-11): 1. Primary education,Single,2014,81.694
Angola,Male,(ISCED-11): 1. Primary education,Married,2014,63.029
Angola,Male,(ISCED-11): 1. Primary education,Union / Cohabiting,2014,173.765
Angola,Male,(ISCED-11): 1. Primary education,Widowed,2014,1.616
Angola,Male,(ISCED-11): 1. Primary education,Divorced or legally separated,2014,4.86
Angola,Male,(ISCED-11): 2. Lower secondary education,Single,2014,85.732
Angola,Male,(ISCED-11): 2. Lower secondary education,Married,2014,64.539
Angola,Male,(ISCED-11): 2. Lower secondary education,Union / Cohabiting,2014,160.763
Angola,Male,(ISCED-11): 2. Lower secondary education,Widowed,2014,1.109
Angola,Male,(ISCED-11): 2. Lower secondary education,Divorced or legally separated,2014,3.787
Angola,Male,(ISCED-11): 3. Upper secondary education,Single,2014,84.311
Angola,Male,(ISCED-11): 3. Upper secondary education,Married,2014,78.963
Angola,Male,(ISCED-11): 3. Upper secondary education,Union / Cohabiting,2014,137.701
Angola,Male,(ISCED-11): 3. Upper secondary education,Widowed,2014,1.102
Angola,Male,(ISCED-11): 3. Upper secondary education,Divorced or legally separated,2014,4.14
Angola,Male,(ISCED-11): 5. Short-cycle tertiary education,Single,2014,9.316
Angola,Male,(ISCED-11): 5. Short-cycle tertiary education,Married,2014,12.864
Angola,Male,(ISCED-11): 5. Short-cycle tertiary education,Union / Cohabiting,2014,15.629
Angola,Male,(ISCED-11): 5. Short-cycle tertiary education,Widowed,2014,0.136
Angola,Male,(ISCED-11): 5. Short-cycle tertiary education,Divorced or legally separated,2014,0.409
Angola,Male,(ISCED-11): 6. Bachelor's or equivalent level,Single,2014,12.554
Angola,Male,(ISCED-11): 6. Bachelor's or equivalent level,Married,2014,28.498
Angola,Male,(ISCED-11): 6. Bachelor's or equivalent level,Union / Cohabiting,2014,19.509
Angola,Male,(ISCED-11): 6. Bachelor's or equivalent level,Widowed,2014,0.325
Angola,Male,(ISCED-11): 6. Bachelor's or equivalent level,Divorced or legally separated,2014,1.256
Angola,Male,(ISCED-11): 7. Master's or equivalent level,Single,2014,1.122
Angola,Male,(ISCED-11): 7. Master's or equivalent level,Married,2014,4.248
Angola,Male,(ISCED-11): 7. Master's or equivalent level,Union / Cohabiting,2014,2.247
Angola,Male,(ISCED-11): 7. Master's or equivalent level,Divorced or legally separated,2014,0.188
Angola,Male,(ISCED-11): 8. Doctoral or equivalent level,Single,2014,0.406
Angola,Male,(ISCED-11): 8. Doctoral or equivalent level,Married,2014,1.374
Angola,Male,(ISCED-11): 8. Doctoral or equivalent level,Union / Cohabiting,2014,0.736
Angola,Male,(ISCED-11): 8. Doctoral or equivalent level,Divorced or legally separated,2014,0.073
Angola,Female,(ISCED-11): X. No schooling,Single,2014,17.025
Angola,Female,(ISCED-11): X. No schooling,Married,2014,9.442
Angola,Female,(ISCED-11): X. No schooling,Union / Cohabiting,2014,25.323
Angola,Female,(ISCED-11): X. No schooling,Widowed,2014,6.866
Angola,Female,(ISCED-11): X. No schooling,Divorced or legally separated,2014,4.584
Angola,Female,(ISCED-11): 0. Early childhood education,Single,2014,23.875
Angola,Female,(ISCED-11): 0. Early childhood education,Married,2014,14.958
Angola,Female,(ISCED-11): 0. Early childhood education,Union / Cohabiting,2014,33.654
Angola,Female,(ISCED-11): 0. Early childhood education,Widowed,2014,6.344
Angola,Female,(ISCED-11): 0. Early childhood education,Divorced or legally separated,2014,5.962
Angola,Female,(ISCED-11): 1. Primary education,Single,2014,35.301
Angola,Female,(ISCED-11): 1. Primary education,Married,2014,18.253
Angola,Female,(ISCED-11): 1. Primary education,Union / Cohabiting,2014,38.939
Angola,Female,(ISCED-11): 1. Primary education,Widowed,2014,3.645
Angola,Female,(ISCED-11): 1. Primary education,Divorced or legally separated,2014,6.552
Angola,Female,(ISCED-11): 2. Lower secondary education,Single,2014,47.066
Angola,Female,(ISCED-11): 2. Lower secondary education,Married,2014,24.056
Angola,Female,(ISCED-11): 2. Lower secondary education,Union / Cohabiting,2014,40.668
Angola,Female,(ISCED-11): 2. Lower secondary education,Widowed,2014,3.365
Angola,Female,(ISCED-11): 2. Lower secondary education,Divorced or legally separated,2014,6.252
Angola,Female,(ISCED-11): 3. Upper secondary education,Single,2014,57.56
Angola,Female,(ISCED-11): 3. Upper secondary education,Married,2014,36.651
Angola,Female,(ISCED-11): 3. Upper secondary education,Union / Cohabiting,2014,43.929
Angola,Female,(ISCED-11): 3. Upper secondary education,Widowed,2014,3.897
Angola,Female,(ISCED-11): 3. Upper secondary education,Divorced or legally separated,2014,6.527
Angola,Female,(ISCED-11): 5. Short-cycle tertiary education,Single,2014,7.442
Angola,Female,(ISCED-11): 5. Short-cycle tertiary education,Married,2014,7.329
Angola,Female,(ISCED-11): 5. Short-cycle tertiary education,Union / Cohabiting,2014,5.654
Angola,Female,(ISCED-11): 5. Short-cycle tertiary education,Widowed,2014,0.472
Angola,Female,(ISCED-11): 5. Short-cycle tertiary education,Divorced or legally separated,2014,0.918
Angola,Female,(ISCED-11): 6. Bachelor's or equivalent level,Single,2014,11.439
Angola,Female,(ISCED-11): 6. Bachelor's or equivalent level,Married,2014,14.535
Angola,Female,(ISCED-11): 6. Bachelor's or equivalent level,Union / Cohabiting,2014,6.29
Angola,Female,(ISCED-11): 6. Bachelor's or equivalent level,Widowed,2014,0.841
