"ref_area.label","indicator.label","source.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"United Arab Emirates","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2022",23.4,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2021",23.1,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2020",17.7,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2019",21.5,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2018",15.8,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2017",12.5,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2016",14.6,,,,"Age coverage - maximum age: 65 years old"
"Argentina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Permanent Household Survey, Urban","2022",33.6,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Permanent Household Survey, Urban","2021",32.7,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Permanent Household Survey, Urban","2020",33,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Permanent Household Survey, Urban","2019",31.6,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Permanent Household Survey, Urban","2018",32.6,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Permanent Household Survey, Urban","2017",31.6,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Permanent Household Survey, Urban","2014",30.6,,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Permanent Household Survey, Urban","2013",30.3,,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Armenia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Household Labour Force Survey","2021",29.7,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Household Labour Force Survey","2020",28.1,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Household Labour Force Survey","2019",24.4,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Household Labour Force Survey","2018",25.7,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Household Labour Force Survey","2017",28.7,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Household Labour Force Survey","2016",29.5,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Household Labour Force Survey","2015",29.1,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Household Labour Force Survey","2014",32.4,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Australia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2020",40,,,,"Employment definition: Excluding own-use production workers | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Australia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2019",39.2,,,,"Employment definition: Excluding own-use production workers | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Australia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2018",37.8,,,,"Employment definition: Excluding own-use production workers | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Australia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2017",38.7,,,,"Employment definition: Excluding own-use production workers | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Australia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2016",36.7,,,,"Employment definition: Excluding own-use production workers | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Australia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2015",37.7,,,"Working time arrangement coverage: Full-time and part time workers","Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Australia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2014",36.3,,,"Working time arrangement coverage: Full-time and part time workers","Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Australia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2013",35.8,,,"Working time arrangement coverage: Full-time and part time workers","Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Australia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HIES - Household, Income and Labour Dynamics Survey","2021",39.7,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2022",33.4,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2021",35.5,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2020",32.8,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2019",33.2,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2018",31.6,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2017",31.8,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2016",31.8,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2015",29.7,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2014",30.3,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2013",29.3,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Azerbaijan","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2022",35.4,,,,"Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2021",35.5,,,,"Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2020",34.6,,,,"Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2019",34.9,,,,"Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2018",38.1,,,,"Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2017",34.5,,,,"Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2016",34.9,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2015",35.1,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2014",34.5,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2013",33,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Burundi","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HIES - Living Standards Survey","2020",33.8,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HIES - Living Standards Survey","2017",32.4,,,,"Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old"
"Burundi","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HIES - Living Standards Survey","2014",27.4,,,,"Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old"
"Belgium","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2022",36.4,,,,"Repository: Eurostat special tabulation"
"Belgium","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2021",35.4,"Break in series",,"Break in series: Methodology revised","Repository: Eurostat special tabulation"
"Belgium","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2020",34.5,,,,"Repository: Eurostat special tabulation"
"Belgium","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2019",32.7,,,,"Repository: Eurostat special tabulation"
"Belgium","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2018",33.9,,,,"Repository: Eurostat special tabulation"
"Belgium","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2017",33.5,"Break in series",,"Break in series: Methodology revised","Repository: Eurostat special tabulation"
"Belgium","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2016",32.7,,,,"Repository: Eurostat special tabulation"
"Belgium","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2015",32.6,,,,"Repository: Eurostat special tabulation"
"Belgium","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2014",31.7,,,,"Repository: Eurostat special tabulation"
"Belgium","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2013",31.4,,,,"Repository: Eurostat special tabulation"
"Benin","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions","2018",13.7,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Regional Integrated Survey on Employment and the Informal Sector","2018",58.1,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2017",10.7,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2016",11.4,,,,"Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Bangladesh","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2013",13.2,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2022",40.8,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2021",38.3,"Break in series",,"Break in series: Methodology revised","Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2020",41.3,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2019",39,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2018",38.6,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2017",39.2,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2016",37.9,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2015",36.5,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2014",36.7,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - EU Labour Force Survey","2013",36.5,,,,"Repository: Eurostat special tabulation"
"Bahrain","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","OE - Estimates of Central informatics organization","2015",21.6,,,,
"Bosnia and Herzegovina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2022",24.1,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2021",24.2,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2020",25.1,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers"
"Bosnia and Herzegovina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2019",24.3,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2018",25.9,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2017",20.3,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2016",21.6,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2015",22,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2014",24.1,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2013",22.8,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belarus","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2022",46.3,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old"
"Belarus","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2021",47.2,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old"
"Belarus","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2020",50.5,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old"
"Belarus","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2019",49.1,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old"
"Belarus","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2018",47.3,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old"
"Belarus","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2017",47.6,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old"
"Belarus","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2016",46,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old"
"Belize","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2021",39.4,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Belize","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2019",56.7,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belize","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2017",51.1,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belize","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2016",38.7,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belize","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2015",46.4,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belize","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2014",39.3,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Continuous Employment Survey","2022",34.4,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Continuous Employment Survey","2021",35.2,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bolivia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Continuous Employment Survey","2019",35.8,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Continuous Employment Survey","2018",38.8,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Continuous Employment Survey","2017",35.3,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Continuous Employment Survey","2016",35.7,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bolivia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HIES - Household Survey","2020",30.1,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HIES - Household Survey","2015",37.1,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HIES - Household Survey","2014",39.4,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HIES - Household Survey","2013",34.2,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HS - Continuous National Household Sample Survey","2022",39.3,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HS - Continuous National Household Sample Survey","2021",38.8,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HS - Continuous National Household Sample Survey","2020",36.8,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HS - Continuous National Household Sample Survey","2019",38.5,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HS - Continuous National Household Sample Survey","2018",38.7,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HS - Continuous National Household Sample Survey","2017",39.1,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HS - Continuous National Household Sample Survey","2016",39,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HS - Continuous National Household Sample Survey","2015",38.5,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HS - Continuous National Household Sample Survey","2014",37.8,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HS - Continuous National Household Sample Survey","2013",37.3,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Barbados","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2019",49.3,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Barbados","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2018",46.5,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Barbados","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2017",49,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Barbados","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2016",48.9,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Barbados","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2015",50.9,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Barbados","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2014",48.6,,,,"Population coverage: Excluding armed forces and/or conscripts"
"Barbados","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2013",48.2,,,,"Population coverage: Excluding armed forces and/or conscripts"
"Brunei Darussalam","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2021",42.6,,,,"Repository: ILO-STATISTICS - Micro data processing"
